dataset,value,month
Getötete (vorläufige Daten),,2012-02-01
Getötete,377,2012-03-01
Getötete (vorläufige Daten),,2012-03-01
Getötete,392,2012-04-01
Getötete (vorläufige Daten),,2012-04-01
Getötete,304,2012-05-01
Getötete (vorläufige Daten),,2012-05-01
Getötete,529,2012-06-01
Getötete (vorläufige Daten),,2012-06-01
Getötete,469,2012-07-01
Getötete (vorläufige Daten),,2012-07-01
Getötete,422,2012-08-01
Getötete (vorläufige Daten),,2012-08-01
Getötete,400,2012-09-01
Getötete (vorläufige Daten),,2012-09-01
Getötete,290,2012-10-01
Getötete (vorläufige Daten),,2012-10-01
Getötete,253,2012-11-01
Getötete (vorläufige Daten),,2012-11-01
Getötete,299,2012-12-01
Getötete (vorläufige Daten),,2012-12-01
Getötete,357,2013-01-01
Getötete (vorläufige Daten),,2013-01-01
Getötete,360,2013-02-01
Getötete (vorläufige Daten),,2013-02-01
Getötete,403,2013-03-01
Getötete (vorläufige Daten),,2013-03-01
Getötete,545,2013-04-01
Getötete (vorläufige Daten),,2013-04-01
Getötete,888,2013-05-01
Getötete (vorläufige Daten),,2013-05-01
Getötete,659,2013-06-01
Getötete (vorläufige Daten),,2013-06-01
Getötete,1145,2013-07-01
Getötete (vorläufige Daten),,2013-07-01
Getötete,1013,2013-08-01
Getötete (vorläufige Daten),,2013-08-01
Getötete,1306,2013-09-01
Getötete (vorläufige Daten),,2013-09-01
Getötete,1180,2013-10-01
Getötete (vorläufige Daten),,2013-10-01
Getötete,870,2013-11-01
Getötete (vorläufige Daten),,2013-11-01
Getötete,1126,2013-12-01
Getötete (vorläufige Daten),,2013-12-01
Getötete,1097,2014-01-01
Getötete (vorläufige Daten),,2014-01-01
Getötete,972,2014-02-01
Getötete (vorläufige Daten),,2014-02-01
Getötete,1029,2014-03-01
Getötete (vorläufige Daten),,2014-03-01
Getötete,1037,2014-04-01
Getötete (vorläufige Daten),,2014-04-01
Getötete,1100,2014-05-01
Getötete (vorläufige Daten),,2014-05-01
Getötete,4088,2014-06-01
Getötete (vorläufige Daten),,2014-06-01
Getötete,1580,2014-07-01
Getötete (vorläufige Daten),,2014-07-01
Getötete,3340,2014-08-01
Getötete (vorläufige Daten),,2014-08-01
Getötete,1474,2014-09-01
Getötete (vorläufige Daten),,2014-09-01
Getötete,1738,2014-10-01
Getötete (vorläufige Daten),,2014-10-01
Getötete,1436,2014-11-01
Getötete (vorläufige Daten),,2014-11-01
Getötete,1327,2014-12-01
Getötete (vorläufige Daten),,2014-12-01
Getötete,1490,2015-01-01
Getötete (vorläufige Daten),,2015-01-01
Getötete,1625,2015-02-01
Getötete (vorläufige Daten),,2015-02-01
Getötete,1105,2015-03-01
Getötete (vorläufige Daten),,2015-03-01
Getötete,2013,2015-04-01
Getötete (vorläufige Daten),,2015-04-01
Getötete,1295,2015-05-01
Getötete (vorläufige Daten),,2015-05-01
Getötete,1355,2015-06-01
Getötete (vorläufige Daten),,2015-06-01
Getötete,1845,2015-07-01
Getötete (vorläufige Daten),,2015-07-01
Getötete,1991,2015-08-01
Getötete (vorläufige Daten),,2015-08-01
Getötete,1445,2015-09-01
Getötete (vorläufige Daten),,2015-09-01
Getötete,1297,2015-10-01
Getötete (vorläufige Daten),,2015-10-01
Getötete,1021,2015-11-01
Getötete (vorläufige Daten),,2015-11-01
Getötete,1096,2015-12-01
Getötete (vorläufige Daten),,2015-12-01
Getötete,1374,2016-01-01
Getötete (vorläufige Daten),,2016-01-01
Getötete,1258,2016-02-01
Getötete (vorläufige Daten),,2016-02-01
Getötete,1459,2016-03-01
Getötete (vorläufige Daten),,2016-03-01
Getötete,1192,2016-04-01
Getötete (vorläufige Daten),,2016-04-01
Getötete,1276,2016-05-01
Getötete (vorläufige Daten),,2016-05-01
Getötete,1405,2016-06-01
Getötete (vorläufige Daten),,2016-06-01
Getötete,1280,2016-07-01
Getötete (vorläufige Daten),,2016-07-01
Getötete,1375,2016-08-01
Getötete (vorläufige Daten),,2016-08-01
Getötete,935,2016-09-01
Getötete (vorläufige Daten),,2016-09-01
Getötete,1970,2016-10-01
Getötete (vorläufige Daten),,2016-10-01
Getötete,1738,2016-11-01
Getötete (vorläufige Daten),,2016-11-01
Getötete,1131,2016-12-01
Getötete (vorläufige Daten),,2016-12-01
Getötete,1119,2017-01-01
Getötete (vorläufige Daten),,2017-01-01
Getötete,929,2017-02-01
Getötete (vorläufige Daten),982,2017-02-01
Getötete,,2017-03-01
Getötete (vorläufige Daten),1918,2017-03-01
Getötete,,2017-04-01
Getötete (vorläufige Daten),1816,2017-04-01
Getötete,,2017-05-01
Getötete (vorläufige Daten),1871,2017-05-01
Getötete,,2017-06-01
Getötete (vorläufige Daten),1858,2017-06-01
Getötete,,2017-07-01
Getötete (vorläufige Daten),1498,2017-07-01
Getötete,,2017-08-01
Getötete (vorläufige Daten),597,2017-08-01
Getötete,,2017-09-01
Getötete (vorläufige Daten),490,2017-09-01
Getötete,,2017-10-01
Getötete (vorläufige Daten),397,2017-10-01
